,Date,Dividends
0,1998-08-03,0.0625
1,1999-08-30,0.0625
2,2000-04-13,0.0375
3,2001-07-23,0.075
4,2002-06-20,0.075
5,2003-09-09,0.0625
6,2004-02-12,0.05
7,2004-06-28,0.2
8,2005-01-06,0.125
9,2005-07-11,1.0
10,2006-03-13,0.75
11,2006-12-04,1.25
12,2007-02-19,0.75
13,2007-09-21,1.25
14,2008-02-06,0.75
15,2008-07-11,1.5
16,2009-07-31,2.25
17,2010-07-02,3.25
18,2011-06-30,3.5
19,2012-02-01,2.0
20,2012-06-08,2.0
21,2013-05-31,0.1
22,2013-11-06,1.5
23,2014-07-04,1.75
24,2014-11-03,1.75
25,2015-07-06,2.35
26,2015-10-30,3.5
27,2016-11-07,1.75
28,2017-04-11,17.7
29,2018-03-20,21.2
30,2018-11-06,17.0
31,2019-03-13,1.85
32,2020-03-05,3.9
33,2020-10-28,9.5
34,2021-09-08,18.5
35,2021-12-17,13.5
36,2022-03-09,13.0
37,2022-05-06,31.5
38,2022-07-26,19.5
39,2022-11-29,17.5
40,2023-02-03,12.5
41,2023-04-06,20.5
42,2023-05-30,18.5
43,2023-12-27,11.0
44,2024-05-24,11.0
45,2024-08-02,4.0
46,2024-09-10,20.0
47,2024-12-24,8.5
48,2025-06-24,7.0
49,2025-08-26,16.0
